airline,flight_code,departure_time,departure_city,flight_duration,arrival_time,arrival_city,flight_cost,number_of_stops,departure_date,departure_day,booking_date,booking_day
AirAsia,I5-302 | I5-741,05:50,Mumbai,09 hrs ,14:50,New Delhi,"₹ 3,500",1 stop via Bengaluru,2020-10-05,0,2020-10-01,3
AirAsia,I5-984 | I5-741,23:25,Mumbai,14 hrs 20 mins ,13:45+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 3,500",1 stop via Bengaluru,2020-10-05,0,2020-10-01,3
Go Air,G8-397 | G8-176,06:30,Mumbai,03 hrs 55 mins ,10:25,New Delhi,"₹ 3,501",1 stop via Lucknow,2020-10-05,0,2020-10-01,3
Go Air,G8-306 | G8-176,21:50,Mumbai,12 hrs 35 mins ,10:25+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 3,501",1 stop via Lucknow,2020-10-05,0,2020-10-01,3
Go Air,G8-349 | G8-406,09:00,Mumbai,13 hrs 45 mins ,22:45,New Delhi,"₹ 3,501",1 stop via Varanasi,2020-10-05,0,2020-10-01,3
IndiGo,6E-213 | 6E-2296,15:45,Mumbai,04 hrs 30 mins ,20:15,New Delhi,"₹ 3,797",1 stop via Ahmedabad,2020-10-05,0,2020-10-01,3
IndiGo,6E-675 | 6E-6684,17:25,Mumbai,05 hrs 10 mins ,22:35,New Delhi,"₹ 3,797",1 stop via Hyderabad,2020-10-05,0,2020-10-01,3
IndiGo,6E-179 | 6E-637,12:35,Mumbai,05 hrs 25 mins ,18:00,New Delhi,"₹ 3,797",1 stop via Goa,2020-10-05,0,2020-10-01,3
IndiGo,6E-5011 | 6E-243,06:15,Mumbai,05 hrs 30 mins ,11:45,New Delhi,"₹ 3,797",1 stop via Lucknow,2020-10-05,0,2020-10-01,3
IndiGo,6E-5317 | 6E-5004,14:00,Mumbai,05 hrs 45 mins ,19:45,New Delhi,"₹ 3,797",1 stop via Lucknow,2020-10-05,0,2020-10-01,3
IndiGo,6E-578 | 6E-521,12:55,Mumbai,06 hrs 20 mins ,19:15,New Delhi,"₹ 3,797",1 stop via Varanasi,2020-10-05,0,2020-10-01,3
IndiGo,6E-6328 | 6E-6684,15:45,Mumbai,06 hrs 50 mins ,22:35,New Delhi,"₹ 3,797",1 stop via Hyderabad,2020-10-05,0,2020-10-01,3
IndiGo,6E-6752 | 6E-6468,09:10,Mumbai,07 hrs 05 mins ,16:15,New Delhi,"₹ 3,797",1 stop via Hyderabad,2020-10-05,0,2020-10-01,3
IndiGo,6E-213 | 6E-267,15:45,Mumbai,07 hrs 10 mins ,22:55,New Delhi,"₹ 3,797",1 stop via Ahmedabad,2020-10-05,0,2020-10-01,3
IndiGo,6E-5325 | 6E-134,09:50,Mumbai,07 hrs 55 mins ,17:45,New Delhi,"₹ 3,797",1 stop via Nagpur,2020-10-05,0,2020-10-01,3
IndiGo,6E-578 | 6E-6698,12:55,Mumbai,08 hrs 45 mins ,21:40,New Delhi,"₹ 3,797",1 stop via Varanasi,2020-10-05,0,2020-10-01,3
IndiGo,6E-6117 | 6E-5045,12:00,Mumbai,08 hrs 50 mins ,20:50,New Delhi,"₹ 3,797",1 stop via Hyderabad,2020-10-05,0,2020-10-01,3
IndiGo,6E-168 | 6E-2069,06:25,Mumbai,08 hrs 55 mins ,15:20,New Delhi,"₹ 3,797",1 stop via Indore,2020-10-05,0,2020-10-01,3
IndiGo,6E-6342 | 6E-2296,11:15,Mumbai,09 hrs ,20:15,New Delhi,"₹ 3,797",1 stop via Ahmedabad,2020-10-05,0,2020-10-01,3
IndiGo,6E-5011 | 6E-306,06:15,Mumbai,09 hrs 10 mins ,15:25,New Delhi,"₹ 3,797",1 stop via Lucknow,2020-10-05,0,2020-10-01,3
IndiGo,6E-6331 | 6E-665,05:55,Mumbai,10 hrs 25 mins ,16:20,New Delhi,"₹ 3,797",1 stop via Goa,2020-10-05,0,2020-10-01,3
