airline,flight_code,departure_time,departure_city,flight_duration,arrival_time,arrival_city,flight_cost,number_of_stops,departure_date,departure_day,booking_date,booking_day
Go Air,G8-101 | G8-136,08:35,New Delhi,03 hrs 05 mins ,11:40,Kolkata,"₹ 5,006",1 stop via Varanasi,2020-11-05,3,2020-10-30,4
Spicejet,SG-8152 | SG-3724,10:20,New Delhi,06 hrs 10 mins ,16:30,Kolkata,"₹ 5,006",1 stop via Guwahati,2020-11-05,3,2020-10-30,4
Spicejet,SG-8721 | SG-3508,06:25,New Delhi,07 hrs 35 mins ,14:00,Kolkata,"₹ 8,583",1 stop via Patna,2020-11-05,3,2020-10-30,4
Go Air,G8-404 | G8-159,14:30,New Delhi,08 hrs 40 mins ,23:10,Kolkata,"₹ 14,286",1 stop via Varanasi,2020-11-05,3,2020-10-30,4
Spicejet,SG-8105 | SG-503,21:30,New Delhi,10 hrs 45 mins ,08:15+1 DAYArrival : Kolkata06 Nov 2020,Kolkata,"₹ 5,006",1 stop via Chennai,2020-11-05,3,2020-10-30,4
Go Air,G8-336 | G8-513,20:35,New Delhi,11 hrs 55 mins ,08:30+1 DAYArrival : Kolkata06 Nov 2020,Kolkata,"₹ 5,006",1 stop via Mumbai,2020-11-05,3,2020-10-30,4
Go Air,G8-715 | G8-702,06:00,New Delhi,13 hrs 20 mins ,19:20,Kolkata,"₹ 12,443","2 stop via Ahmedabad,Jaipur",2020-11-05,3,2020-10-30,4
Spicejet,SG-2646 | SG-279,08:50,New Delhi,13 hrs 20 mins ,22:10,Kolkata,"₹ 5,006",1 stop via Jaipur,2020-11-05,3,2020-10-30,4
Go Air,G8-324 | G8-513,18:40,New Delhi,13 hrs 50 mins ,08:30+1 DAYArrival : Kolkata06 Nov 2020,Kolkata,"₹ 5,006",1 stop via Mumbai,2020-11-05,3,2020-10-30,4
Go Air,G8-113 | G8-832,06:00,New Delhi,14 hrs 10 mins ,20:10,Kolkata,"₹ 10,372",1 stop via Bengaluru,2020-11-05,3,2020-10-30,4
Go Air,G8-101 | G8-159,08:35,New Delhi,14 hrs 35 mins ,23:10,Kolkata,"₹ 5,006",1 stop via Varanasi,2020-11-05,3,2020-10-30,4
Spicejet,SG-942 | SG-3508,19:30,New Delhi,18 hrs 30 mins ,14:00+1 DAYArrival : Kolkata06 Nov 2020,Kolkata,"₹ 5,006",1 stop via Patna,2020-11-05,3,2020-10-30,4
Spicejet,SG-8128 | SG-503,10:55,New Delhi,21 hrs 20 mins ,08:15+1 DAYArrival : Kolkata06 Nov 2020,Kolkata,"₹ 8,583",1 stop via Chennai,2020-11-05,3,2020-10-30,4
Spicejet,SG-8480 | SG-3508,15:55,New Delhi,22 hrs 05 mins ,14:00+1 DAYArrival : Kolkata06 Nov 2020,Kolkata,"₹ 14,286",1 stop via Patna,2020-11-05,3,2020-10-30,4
Vistara,UK-711,17:50,New Delhi,03 hrs 45 mins ,21:35,Kolkata,"₹ 5,006",1 stop via Bhubaneswar,2020-11-05,3,2020-10-30,4
IndiGo,6E-2424 | 6E-6157,14:10,New Delhi,05 hrs 10 mins ,19:20,Kolkata,"₹ 5,006",1 stop via Lucknow,2020-11-05,3,2020-10-30,4
IndiGo,6E-2136 | 6E-355,09:15,New Delhi,06 hrs 50 mins ,16:05,Kolkata,"₹ 11,948",1 stop via Varanasi,2020-11-05,3,2020-10-30,4
IndiGo,6E-943 | 6E-6157,12:25,New Delhi,06 hrs 55 mins ,19:20,Kolkata,"₹ 5,006",1 stop via Lucknow,2020-11-05,3,2020-10-30,4
