airline,flight_code,departure_time,departure_city,flight_duration,arrival_time,arrival_city,flight_cost,number_of_stops,departure_date,departure_day,booking_date,booking_day
Vistara,UK-970 | UK-807,08:45,Mumbai,13 hrs 50 mins ,22:35,Bengaluru,"₹ 4,059",1 stop via New Delhi,2020-11-24,1,2020-11-09,0
Vistara,UK-960 | UK-819,11:05,Mumbai,05 hrs 50 mins ,16:55,Bengaluru,"₹ 3,533",1 stop via New Delhi,2020-11-24,1,2020-11-09,0
Vistara,UK-970 | UK-819,08:45,Mumbai,08 hrs 10 mins ,16:55,Bengaluru,"₹ 3,533",1 stop via New Delhi,2020-11-24,1,2020-11-09,0
Vistara,UK-940 | UK-815,19:40,Mumbai,15 hrs 25 mins ,11:05+1 DAYArrival : Bengaluru25 Nov 2020,Bengaluru,"₹ 4,059",1 stop via New Delhi,2020-11-24,1,2020-11-09,0
Air India,AI-625 | AI-566,08:00,Mumbai,13 hrs 45 mins ,21:45,Bengaluru,"₹ 3,533",1 stop via Lucknow,2020-11-24,1,2020-11-09,0
Air India,AI-809 | AI-849 | AI-9514,10:00,Mumbai,12 hrs 20 mins ,22:20,Bengaluru,"₹ 3,533","3 stop via New Delhi,Pune,Belgaum",2020-11-24,1,2020-11-09,0
Air India,AI-866 | AI-849 | AI-9514,07:00,Mumbai,15 hrs 20 mins ,22:20,Bengaluru,"₹ 4,059","3 stop via New Delhi,Pune,Belgaum",2020-11-24,1,2020-11-09,0
Vistara,UK-825 | UK-838 | UK-813,08:20,Mumbai,13 hrs 20 mins ,21:40,Bengaluru,"₹ 3,533","2 stop via Chennai,New Delhi",2020-11-24,1,2020-11-09,0
Air India,AI-695 | AI-428 | AI-803,10:10,Mumbai,22 hrs 10 mins ,08:20+1 DAYArrival : Bengaluru25 Nov 2020,Bengaluru,"₹ 3,533","2 stop via Varanasi,New Delhi",2020-11-24,1,2020-11-09,0
Vistara,UK-841 | UK-848 | UK-813,12:30,Mumbai,09 hrs 10 mins ,21:40,Bengaluru,"₹ 4,059","2 stop via Goa,New Delhi",2020-11-24,1,2020-11-09,0
Vistara,UK-841 | UK-848 | UK-807,12:30,Mumbai,10 hrs 05 mins ,22:35,Bengaluru,"₹ 3,533","2 stop via Goa,New Delhi",2020-11-24,1,2020-11-09,0
Vistara,UK-621 | UK-674 | UK-813,07:30,Mumbai,14 hrs 10 mins ,21:40,Bengaluru,"₹ 3,533","2 stop via Varanasi,New Delhi",2020-11-24,1,2020-11-09,0
airline,flight_code,departure_time,departure_city,flight_duration,arrival_time,arrival_city,flight_cost,number_of_stops,departure_date,departure_day,booking_date,booking_day
