airline,flight_code,departure_time,departure_city,flight_duration,arrival_time,arrival_city,flight_cost,number_of_stops,departure_date,departure_day,booking_date,booking_day
Vistara,UK-970,08:45,Mumbai,02 hrs ,10:45,New Delhi,"₹ 5,581",Non stop,2020-12-20,6,2020-12-19,5
IndiGo,6E-2036,18:35,Mumbai,02 hrs ,20:35,New Delhi,"₹ 5,581",Non stop,2020-12-20,6,2020-12-19,5
Go Air,G8-327,06:00,Mumbai,02 hrs 05 mins ,08:05,New Delhi,"₹ 6,105",Non stop,2020-12-20,6,2020-12-19,5
IndiGo,6E-104,06:05,Mumbai,02 hrs 05 mins ,08:10,New Delhi,"₹ 7,029",Non stop,2020-12-20,6,2020-12-19,5
IndiGo,6E-5047,07:40,Mumbai,02 hrs 05 mins ,09:45,New Delhi,"₹ 7,587",Non stop,2020-12-20,6,2020-12-19,5
Go Air,G8-321,08:35,Mumbai,02 hrs 05 mins ,10:40,New Delhi,"₹ 5,581",Non stop,2020-12-20,6,2020-12-19,5
IndiGo,6E-6284,14:15,Mumbai,02 hrs 05 mins ,16:20,New Delhi,"₹ 5,581",Non stop,2020-12-20,6,2020-12-19,5
Spicejet,SG-790,15:25,Mumbai,02 hrs 05 mins ,17:30,New Delhi,"₹ 5,975",Non stop,2020-12-20,6,2020-12-19,5
Vistara,UK-940,19:40,Mumbai,02 hrs 05 mins ,21:45,New Delhi,"₹ 5,581",Non stop,2020-12-20,6,2020-12-19,5
Go Air,G8-326,20:25,Mumbai,02 hrs 05 mins ,22:30,New Delhi,"₹ 5,581",Non stop,2020-12-20,6,2020-12-19,5
Vistara,UK-988,20:40,Mumbai,02 hrs 05 mins ,22:45,New Delhi,"₹ 6,028",Non stop,2020-12-20,6,2020-12-19,5
IndiGo,6E-2174,21:15,Mumbai,02 hrs 05 mins ,23:20,New Delhi,"₹ 7,652",Non stop,2020-12-20,6,2020-12-19,5
Go Air,G8-322,21:35,Mumbai,02 hrs 05 mins ,23:40,New Delhi,"₹ 5,581",Non stop,2020-12-20,6,2020-12-19,5
Vistara,UK-930,07:30,Mumbai,02 hrs 10 mins ,09:40,New Delhi,"₹ 5,581",Non stop,2020-12-20,6,2020-12-19,5
IndiGo,6E-6374,09:40,Mumbai,02 hrs 10 mins ,11:50,New Delhi,"₹ 5,975",Non stop,2020-12-20,6,2020-12-19,5
Vistara,UK-994,09:50,Mumbai,02 hrs 10 mins ,12:00,New Delhi,"₹ 5,581",Non stop,2020-12-20,6,2020-12-19,5
IndiGo,6E-407,12:00,Mumbai,02 hrs 10 mins ,14:10,New Delhi,"₹ 5,581",Non stop,2020-12-20,6,2020-12-19,5
Vistara,UK-910,17:00,Mumbai,02 hrs 10 mins ,19:10,New Delhi,"₹ 5,975",Non stop,2020-12-20,6,2020-12-19,5
Vistara,UK-996,18:00,Mumbai,02 hrs 10 mins ,20:10,New Delhi,"₹ 5,581",Non stop,2020-12-20,6,2020-12-19,5
AirAsia,I5-951,19:25,Mumbai,02 hrs 10 mins ,21:35,New Delhi,"₹ 5,581",Non stop,2020-12-20,6,2020-12-19,5
Air India,AI-866,07:00,Mumbai,02 hrs 15 mins ,09:15,New Delhi,"₹ 6,028",Non stop,2020-12-20,6,2020-12-19,5
Spicejet,SG-8152,07:20,Mumbai,02 hrs 15 mins ,09:35,New Delhi,"₹ 7,652",Non stop,2020-12-20,6,2020-12-19,5
Air India,AI-809,10:00,Mumbai,02 hrs 15 mins ,12:15,New Delhi,"₹ 5,581",Non stop,2020-12-20,6,2020-12-19,5
Vistara,UK-902,15:45,Mumbai,02 hrs 15 mins ,18:00,New Delhi,"₹ 5,581",Non stop,2020-12-20,6,2020-12-19,5
Air India,AI-687,16:45,Mumbai,02 hrs 15 mins ,19:00,New Delhi,"₹ 5,975",Non stop,2020-12-20,6,2020-12-19,5
Air India,AI-538,21:00,Mumbai,02 hrs 15 mins ,23:15,New Delhi,"₹ 5,581",Non stop,2020-12-20,6,2020-12-19,5
AirAsia,I5-637 | I5-994,09:20,Mumbai,09 hrs ,18:20,New Delhi,"₹ 5,581",1 stop via Hyderabad,2020-12-20,6,2020-12-19,5
Spicejet,SG-435 | SG-410,18:45,Mumbai,25 hrs 15 mins ,20:00+ 1 DAY21 Dec 2020,New Delhi,"₹ 6,479",1 stop via Amritsar,2020-12-20,6,2020-12-19,5
Spicejet,SG-308 | SG-8194,06:10,Mumbai,25 hrs 35 mins ,07:45+ 1 DAY21 Dec 2020,New Delhi,"₹ 5,581",1 stop via Ahmedabad,2020-12-20,6,2020-12-19,5
IndiGo,6E-6998 | 6E-2145,16:40,Mumbai,04 hrs 15 mins ,20:55,New Delhi,"₹ 5,581",1 stop via Jaipur,2020-12-20,6,2020-12-19,5
IndiGo,6E-213 | 6E-2615,15:45,Mumbai,04 hrs 30 mins ,20:15,New Delhi,"₹ 6,099",1 stop via Ahmedabad,2020-12-20,6,2020-12-19,5
IndiGo,6E-5382 | 6E-2122,14:55,Mumbai,04 hrs 45 mins ,19:40,New Delhi,"₹ 6,105",1 stop via Indore,2020-12-20,6,2020-12-19,5
IndiGo,6E-749 | 6E-5042,15:35,Mumbai,04 hrs 45 mins ,20:20,New Delhi,"₹ 6,658",1 stop via Udaipur,2020-12-20,6,2020-12-19,5
IndiGo,6E-464 | 6E-2092,11:50,Mumbai,05 hrs 05 mins ,16:55,New Delhi,"₹ 5,581",1 stop via Raipur,2020-12-20,6,2020-12-19,5
