airline,flight_code,departure_time,departure_city,flight_duration,arrival_time,arrival_city,flight_cost,number_of_stops,departure_date,departure_day,booking_date,booking_day
Go Air,G8-327,06:00,Mumbai,02 hrs 05 mins ,08:05,New Delhi,"₹ 5,055",Non stop,2020-11-24,1,2020-11-18,2
Go Air,G8-321,14:30,Mumbai,02 hrs 05 mins ,16:35,New Delhi,"₹ 5,055",Non stop,2020-11-24,1,2020-11-18,2
Go Air,G8-326,20:25,Mumbai,02 hrs 05 mins ,22:30,New Delhi,"₹ 5,502",Non stop,2020-11-24,1,2020-11-18,2
Go Air,G8-322,21:35,Mumbai,02 hrs 05 mins ,23:40,New Delhi,"₹ 7,652",Non stop,2020-11-24,1,2020-11-18,2
Spicejet,SG-947 | SG-2644,06:00,Mumbai,06 hrs 10 mins ,12:10,New Delhi,"₹ 5,055",1 stop via Rajkot,2020-11-24,1,2020-11-18,2
Spicejet,SG-779 | SG-2034,06:00,Mumbai,14 hrs 20 mins ,20:20,New Delhi,"₹ 5,055",1 stop via Dehradun,2020-11-24,1,2020-11-18,2
Go Air,G8-306 | G8-176,19:35,Mumbai,15 hrs ,10:35+1 DAYArrival : New Delhi25 Nov 2020,New Delhi,"₹ 5,502",1 stop via Lucknow,2020-11-24,1,2020-11-18,2
Go Air,G8-511 | G8-403,19:00,Mumbai,15 hrs 40 mins ,10:40+1 DAYArrival : New Delhi25 Nov 2020,New Delhi,"₹ 7,652",1 stop via Varanasi,2020-11-24,1,2020-11-18,2
Vistara,UK-960,11:55,Mumbai,02 hrs 05 mins ,14:00,New Delhi,"₹ 5,055",Non stop,2020-11-24,1,2020-11-18,2
Vistara,UK-944,13:35,Mumbai,02 hrs 05 mins ,15:40,New Delhi,"₹ 5,055",Non stop,2020-11-24,1,2020-11-18,2
Vistara,UK-940,19:40,Mumbai,02 hrs 05 mins ,21:45,New Delhi,"₹ 5,502",Non stop,2020-11-24,1,2020-11-18,2
Vistara,UK-970,08:45,Mumbai,02 hrs 10 mins ,10:55,New Delhi,"₹ 7,652",Non stop,2020-11-24,1,2020-11-18,2
Vistara,UK-994,09:45,Mumbai,02 hrs 10 mins ,11:55,New Delhi,"₹ 5,055",Non stop,2020-11-24,1,2020-11-18,2
Vistara,UK-910,17:00,Mumbai,02 hrs 10 mins ,19:10,New Delhi,"₹ 5,055",Non stop,2020-11-24,1,2020-11-18,2
Vistara,UK-996,18:00,Mumbai,02 hrs 10 mins ,20:10,New Delhi,"₹ 5,502",Non stop,2020-11-24,1,2020-11-18,2
Air India,AI-866,07:00,Mumbai,02 hrs 15 mins ,09:15,New Delhi,"₹ 7,652",Non stop,2020-11-24,1,2020-11-18,2
Air India,AI-809,10:00,Mumbai,02 hrs 15 mins ,12:15,New Delhi,"₹ 5,055",Non stop,2020-11-24,1,2020-11-18,2
Air India,AI-687,16:45,Mumbai,02 hrs 15 mins ,19:00,New Delhi,"₹ 5,055",Non stop,2020-11-24,1,2020-11-18,2
Air India,AI-538,21:00,Mumbai,02 hrs 15 mins ,23:15,New Delhi,"₹ 5,955",Non stop,2020-11-24,1,2020-11-18,2
Vistara,UK-902,15:45,Mumbai,02 hrs 20 mins ,18:05,New Delhi,"₹ 5,055",Non stop,2020-11-24,1,2020-11-18,2
IndiGo,6E-104,06:15,Mumbai,02 hrs 05 mins ,08:20,New Delhi,"₹ 5,055",Non stop,2020-11-24,1,2020-11-18,2
IndiGo,6E-6284,14:15,Mumbai,02 hrs 05 mins ,16:20,New Delhi,"₹ 5,955",Non stop,2020-11-24,1,2020-11-18,2
